Instance,Vehicles,Distance
25-ce-6.txt,2,215.54
25-ch-3.txt,3,191.81
25-ch-4.txt,3,198.60
25-rce-31.txt,1,554.53
25-rch-28.txt,3,347.28
25-rch-29.txt,3,309.72
25-re-19.txt,2,542.56
25-re-20.txt,2,442.20
25-re-22.txt,1,486.16
25-re-23.txt,1,510.31
25-re-24.txt,1,658.61
25-rh-13.txt,4,417.96
25-rh-18.txt,4,413.23
50-ce-7.txt,2,449.24
50-ce-10.txt,2,359.68
50-ch-1.txt,5,484.42
50-rce-32.txt,2,853.69
50-rch-26.txt,6,728.79
50-re-21.txt,2,640.91
50-rh-12.txt,8,815.90
50-rh-14.txt,6,731.05
50-rh-15.txt,9,983.87
50-rh-16.txt,6,650.77
100-ce-8.txt,4,2206.94
100-ce-9.txt,3,890.18
100-ch-2.txt,10,1712.00
100-ch-5.txt,11,1467.59
100-rce-33.txt,4,1514.30
100-rch-25.txt,16,1732.96
100-rch-27.txt,15,1808.05
100-rch-30.txt,12,1348.19
100-rh-11.txt,19,1777.94
100-rh-17.txt,12,1283.30
200-ce-36.txt,7,4155.55
200-ce-37.txt,7,3742.79
200-ch-34.txt,21,5138.63
200-ch-35.txt,22,6154.17
200-rce-42.txt,6,4048.48
200-rce-43.txt,5,4073.72
200-rch-41.txt,19,3960.76
200-re-39.txt,4,6503.63
200-re-40.txt,5,5450.09
200-rh-38.txt,19,5475.95
400-ce-46.txt,17,19974.99
400-ce-47.txt,17,18357.60
400-ch-44.txt,38,15173.18
400-ch-45.txt,44,15991.84
400-rce-51.txt,14,16449.33
400-rch-50.txt,37,14439.32
400-re-49.txt,9,21696.29
400-rh-48.txt,37,19189.19
600-ce-53.txt,26,36462.50
600-ch-52.txt,63,25650.42
600-rce-58.txt,15,32708.83
600-rch-57.txt,56,35006.36
600-re-56.txt,12,44273.45
600-rh-54.txt,56,39599.55
600-rh-55.txt,55,41078.26
800-ce-60.txt,38,67330.24
800-ch-59.txt,106,62029.67
800-rce-64.txt,24,72478.98
800-rch-63.txt,74,79656.93
800-re-62.txt,19,83343.24
800-rh-61.txt,82,69763.20
